,id,seller,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,street,address,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size
8061,8064,4,39.0,9.0,19.0,10,1,3,2.8,1,0,0,1,0,1,1,1,2963,0,55.740015,37.68765,0,Новорогожская улица,20,2004,2,25,False,True,True,3,True,0,0.10817210870376359,1.520881667884937,39.0
1980,1980,3,78.27,16.9,39.4,1,3,3,2.72,0,2,1,1,0,0,4,1,8007,1,55.802857,37.598609,2,Складочная улица,6к7,2021,2,14,False,True,True,1,False,4,0.0708339022612823,0.2715054810592373,26.09
20556,20563,4,82.0,8.2,30.3,4,3,1,2.7,0,1,0,1,2,0,0,2,4872,0,55.774497,37.685242,0,Бакунинская улица,26-30С1,2013,7,12,False,True,True,3,False,4,0.11290665026444308,1.2098022020731936,27.333333333333332
18413,18419,1,36.0,10.7,30.9,1,1,3,2.8,0,1,2,2,0,0,1,1,6193,0,55.85508299999999,37.660054,2,проезд Берингов,4,1969,3,9,False,True,False,3,False,0,0.14485394061692544,0.5887567684467309,36.0
20458,20465,4,54.1,8.2,30.3,10,2,1,2.7,0,1,0,1,2,0,0,2,6493,1,55.77278,37.497827,8,улица Мневники,5с3,2020,2,21,False,True,True,0,False,0,0.09025095856039368,-1.134214242428084,27.05
19502,19509,4,76.0,10.0,44.8,11,3,1,2.7,0,1,1,0,2,0,0,1,2746,0,55.704164,37.94579,4,13-й кв-л,к2,2019,7,17,False,True,True,3,False,4,0.36744157860628784,1.6537723525422094,25.333333333333332
5811,5814,3,43.3,10.7,30.9,5,1,3,2.8,0,0,2,2,0,0,4,1,5841,1,55.719896,37.692663,4,Метрополия ЖК,5,2021,7,30,False,True,True,0,False,4,0.11400492282470821,1.7002915569365993,43.3
19428,19435,2,23.3,2.0,18.0,5,1,3,2.8,1,0,2,2,0,0,2,1,5835,0,55.790879,37.818957,3,Нижняя Первомайская улица,68/7,1952,0,5,True,True,False,1,False,0,0.24586794937568413,1.339924175402787,23.3
22305,22313,0,25.17,10.7,18.3,5,1,3,2.8,1,0,2,2,0,0,4,1,235,1,55.586939,37.124802,11,Баркли Медовая Долина ЖК,к8,2020,0,7,False,True,True,1,False,4,0.47818589021705776,-1.8847605626710497,25.17
10426,10430,4,99.4,10.7,30.9,13,3,3,2.8,0,0,2,2,0,0,4,1,44,1,55.71016899999999,37.647217,5,Павелецкая набережная,8,2021,7,16,False,True,True,0,True,4,0.07188949648052294,1.91780846907623,33.13333333333333
15318,15323,4,39.0,7.0,14.0,12,1,3,3.0,1,0,1,1,0,1,0,2,8296,0,55.80356999999999,37.591027,2,Новодмитровская улица,2к5,2017,7,47,True,True,True,0,False,0,0.06989051908027888,0.16405292158468307,39.0
6936,6939,1,37.5,7.0,18.8,4,1,3,2.65,1,0,2,2,1,0,1,1,7368,0,55.886902,37.516916,1,Коровинское шоссе,36К1,1982,3,17,True,False,False,3,False,0,0.16468552672911488,-0.39055867996169535,37.5
4164,4167,1,64.0,8.0,36.0,2,3,3,2.8,0,1,2,2,0,1,1,2,5123,0,55.758448,37.805895,3,Мартеновская улица,5,1955,7,5,True,True,True,1,True,4,0.22753371602713296,1.4658715979419734,21.333333333333332
14059,14064,1,32.6,7.0,19.0,2,1,3,2.8,1,0,1,0,0,0,4,1,2776,0,55.652004000000005,37.525998,6,улица Бутлерова,10,1967,3,9,False,True,False,3,True,0,0.0984864373965016,-2.565935927897347,32.6
3710,3713,4,41.4,19.7,13.5,16,1,3,0.0,1,0,1,0,0,0,4,1,4852,1,55.80589200000001,37.716432,3,Просторная улица,7к2,2022,2,32,False,True,True,1,False,4,0.15427101282930328,1.0905405978346538,41.4
981,981,4,39.5,10.7,30.9,4,2,3,2.8,0,0,2,2,0,0,4,0,1618,0,55.8403,37.456684,8,улица Свободы,28К2,1965,3,12,False,True,False,1,True,0,0.1621115603372098,-0.8606959279634375,19.75
14478,14483,4,81.5,10.0,53.9,3,3,3,2.8,0,1,2,2,2,0,4,2,8632,0,55.891809,37.660916,2,улица Грекова,11,2004,3,14,True,True,True,3,False,0,0.17697257431807514,0.4773334610035133,27.166666666666668
14797,14802,2,45.0,7.0,29.0,4,2,1,2.64,0,1,1,0,0,0,1,1,6814,0,55.813642,37.399048,8,улица Кулакова,8,1979,3,9,False,True,False,1,True,0,0.19709996060151133,-1.1582598632658851,22.5
10999,11003,3,64.8,18.6,30.6,1,2,3,2.7,2,0,0,1,0,0,4,1,8684,1,55.601203000000005,37.727553,5,Ясеневая улица,12к1,2019,2,16,True,True,True,1,False,4,0.1992131617432604,2.304613329864625,32.4
5438,5441,1,37.0,7.0,20.0,2,1,3,2.8,1,0,1,0,0,1,2,1,4817,0,55.60195,37.664752,5,Бирюлевская улица,1К1,2004,3,17,True,True,True,3,True,0,0.15763717092741097,2.5710401442931907,37.0
12732,12736,3,78.93,8.8,54.6,3,3,3,2.72,0,2,1,1,0,0,4,1,4791,1,55.804025,37.5971,2,Складочная улица,6к1,2021,2,14,False,True,True,1,False,4,0.07157624287522366,0.2468165788385938,26.310000000000002
22989,22997,3,52.6,8.4,31.9,17,2,3,3.1,1,0,2,2,0,0,4,1,3883,1,55.656986,37.559173,6,Херсонская улица,43к7,2019,2,32,False,True,True,1,False,4,0.08027754894360635,-2.884146323615714,26.3
8657,8661,1,45.0,8.0,31.0,14,1,3,2.78,1,0,1,0,0,1,2,2,4368,0,55.723095,37.901377,3,Лухмановская улица,27,2010,3,24,False,True,True,3,True,0,0.3219706422565613,1.6065925379172894,45.0
342,342,3,72.5,12.6,41.9,10,3,3,2.65,0,2,1,1,0,0,4,1,9522,1,55.743669,37.407394,7,Саларьево Парк ЖК,40,2021,2,15,False,True,True,1,False,4,0.1724562991847613,-1.5182885750010855,24.166666666666668
15782,15787,4,153.0,10.7,30.9,10,4,3,2.8,1,0,0,1,1,0,1,1,5795,0,55.762181000000005,37.547531,0,2-я Черногрязская улица,6к2,2017,2,13,True,True,True,3,True,0,0.042296056782482466,-0.8610103652672223,38.25
4528,4531,3,60.6,19.8,25.6,33,2,3,2.7,0,2,1,0,0,0,4,1,3556,1,55.554552,37.557619,6,улица Поляны,5Ак5,2021,2,33,False,True,True,1,False,4,0.18140406824302643,-3.020052606690358,30.3
18191,18197,4,200.0,10.7,30.9,3,1,3,3.0,2,0,0,1,0,0,0,2,5568,0,55.774948,37.67298,0,Нижняя Красносельская улица,35С48,2015,2,8,True,True,True,3,False,4,0.10170539668150404,1.1630529024479699,200.0
22563,22571,1,102.0,11.0,65.0,20,4,1,2.7,0,1,1,1,1,0,3,1,6525,0,55.77551,37.466709,8,проспект Маршала Жукова,47к1,1997,7,22,False,True,False,3,False,4,0.12008077807513774,-1.2233067206489527,25.5
7714,7717,4,32.8,3.4,22.0,5,1,3,3.3,1,0,1,0,0,1,2,1,5613,0,55.718816,37.426186,7,Рябиновая улица,3к2,2019,2,27,True,True,True,3,True,0,0.15423821159677345,-1.6734274608949615,32.8
12433,12437,3,119.3,15.9,64.0,3,4,3,3.3,2,0,2,2,0,1,4,1,1143,1,55.717006000000005,37.428791,7,улица Петра Алексеева,12с1,2021,2,27,True,True,True,0,False,1,0.1518464294189665,-1.6870426953822486,29.825
8299,8302,4,360.0,10.7,30.9,5,1,3,3.2,0,0,1,1,0,0,0,1,7058,0,55.741911,37.623636,0,3-й Кадашевский переулок,5С1,2013,7,6,False,True,False,3,False,4,0.044623401963489705,1.406622436848431,360.0
1202,1202,4,67.0,11.0,40.0,13,2,1,2.8,0,1,1,1,0,1,2,1,1684,0,55.94626,37.346075,1,Синявинская улица,11к9,2013,2,19,False,True,True,1,True,1,0.31517012988479076,-0.8345420330394869,33.5
15449,15454,2,54.0,19.0,20.0,3,1,3,3.2,0,0,0,1,0,0,0,1,4104,0,55.790236,37.567231,1,Ленинградский проспект,36с39,2013,2,15,True,True,True,0,False,4,0.056979654852987095,-0.21904640872849426,54.0
20212,20219,3,44.7,10.7,13.9,1,1,3,2.8,0,0,2,2,0,0,4,1,8331,1,55.638125,37.316709,11,15-я фаза тер.,к9,2021,2,17,False,True,True,1,False,4,0.28005211216296066,-1.922559189372903,44.7
9467,9471,4,72.4,10.2,44.3,14,3,3,2.64,0,1,1,1,0,1,2,2,7455,0,55.638429,37.665309,5,Кантемировская улица,16к1А,1988,3,17,False,True,True,1,True,0,0.12882611659046264,2.4138180149986654,24.133333333333336
12428,12432,3,37.49,11.5,14.2,15,1,3,3.3,1,0,2,2,0,0,4,1,1143,1,55.717006000000005,37.428791,7,улица Петра Алексеева,12с1,2021,2,27,True,True,True,0,False,1,0.1518464294189665,-1.6870426953822486,37.49
20457,20464,4,46.5,8.2,30.3,22,2,1,2.7,0,1,0,1,2,0,0,2,5102,1,55.767575,37.500396,8,3-й Силикатный проезд,4К2С5,2021,2,36,False,True,True,0,False,0,0.08579886368779045,-1.176540897284342,23.25
8776,8780,1,49.0,7.0,31.0,10,2,3,2.8,0,1,2,2,1,0,1,1,8847,0,55.747358,37.818058,3,Союзный проспект,20К3,1967,4,12,False,True,True,1,True,0,0.23878549267034735,1.5174171028024734,24.5
22680,22688,4,36.6,8.1,19.0,6,1,3,2.7,0,1,1,0,0,1,1,2,2253,0,55.859382,37.697576,2,улица Вешних Вод,6к1,1975,0,14,False,True,False,3,True,0,0.17170162587619414,0.7573874507038966,36.6
11096,11100,1,59.0,6.0,44.0,2,3,3,2.64,1,0,2,2,0,1,1,1,7117,0,55.739732,37.827212,3,улица Старый Гай,10,1971,3,9,False,True,True,1,True,0,0.2476521929513827,1.5501443971208748,19.666666666666668
1855,1855,3,38.88,17.9,11.0,1,1,3,2.72,1,0,0,1,0,0,4,1,713,1,55.801627,37.600657,2,Шереметьевский ЖК,к12,2021,2,14,False,True,True,1,True,0,0.07023595825632124,0.30429858256811537,38.88
4714,4717,2,80.0,9.0,50.0,6,3,3,3.0,0,1,2,2,1,0,1,1,3780,0,55.690552,37.548231,6,Ленинский проспект,66,1957,0,9,False,True,False,3,True,0,0.05409812024919548,-2.5227571375962,26.666666666666668
3270,3273,4,92.0,21.0,45.0,13,2,3,3.0,2,0,1,0,1,0,3,2,3560,0,55.774487,37.595447,0,4-я Тверская-Ямская улица,22к2,2003,2,15,False,True,True,3,False,4,0.04289843088676588,0.37805480085684,46.0
16923,16929,4,32.0,5.2,20.0,4,1,3,2.64,1,0,1,0,1,0,1,1,2345,0,55.815625,37.819226,3,Новосибирская улица,9К2,1967,3,5,True,False,False,3,False,0,0.2529362145603905,1.244784967738132,32.0
15852,15858,4,74.0,10.7,70.0,4,4,3,2.8,0,0,2,2,0,0,4,1,7122,1,55.76986899999999,37.570824,0,Большой Тишинский переулок,38,2020,0,7,True,True,False,1,False,4,0.036330181798856935,-0.24433335313822077,18.5
3129,3131,4,130.0,15.0,100.0,3,3,3,2.8,0,0,1,1,0,0,3,2,1324,0,55.769651,37.570016,0,Большой Тишинский переулок,38С1,1998,2,10,True,False,False,0,True,4,0.03632375819553952,-0.26737093997708433,43.333333333333336
22276,22284,4,41.6,10.7,30.9,2,1,3,3.0,1,0,0,1,0,0,0,1,5428,0,55.592256000000006,37.459361,11,бульвар Веласкеса,6,2019,7,13,False,True,True,0,True,4,0.18635276462257822,-2.4401895255378365,41.6
5253,5256,4,92.0,12.0,57.0,8,3,3,2.8,0,0,2,2,0,0,4,0,2299,2,55.717574,37.594216,5,Ленинский проспект,18,2013,7,8,False,False,False,3,False,4,0.022444425126316666,2.4331574058790317,30.666666666666668
14071,14076,1,45.0,6.0,28.0,4,2,3,2.8,0,1,1,1,0,0,1,1,1345,0,55.593726,37.53826,6,проезд Карамзина,1К3,1977,3,9,True,True,True,1,True,0,0.14683513676673948,-2.8561041972241603,22.5
20243,20250,3,42.0,10.7,18.0,3,1,3,2.8,1,0,2,2,0,0,4,1,3823,1,55.63816,37.319763,11,15-я фаза тер.,к8,2021,2,17,False,True,True,1,False,4,0.27717493370230156,-1.9262370512196612,42.0
4354,4357,2,75.0,10.0,45.0,9,3,2,2.64,0,1,1,0,0,1,1,1,6503,0,55.880722,37.55372,1,мкр. 16-й,к1601,1993,2,17,False,True,True,3,True,0,0.1483807435373482,-0.17539916941380246,25.0
21740,21748,4,58.9,7.0,45.0,3,3,3,2.8,1,0,1,0,0,1,3,1,1569,0,55.821487,37.757593,3,Открытое шоссе,24К42,1973,3,9,False,True,False,1,True,0,0.19804863733703315,1.1167279913407266,19.633333333333333
4932,4935,1,74.5,10.1,45.6,6,3,3,2.8,0,1,1,0,1,0,4,1,2843,0,55.532284,37.524893,6,Чечерский проезд,70,1997,3,8,False,True,False,3,False,0,0.2096025539079108,-2.877468706840569,24.833333333333332
19411,19418,3,75.44,11.8,44.5,5,3,3,3.0,1,1,2,2,0,1,4,1,1744,1,55.811735,37.740722,3,Тюменский проезд,3к5,2021,7,22,True,True,True,0,True,0,0.1786149077462228,1.1243633968958837,25.146666666666665
2383,2383,3,83.6,10.7,30.9,26,3,3,2.8,0,0,2,2,0,0,4,1,2640,1,55.734385,37.525342,7,Поклонная улица,вл9,2022,2,32,False,True,False,1,False,4,0.05427111687405752,-1.5750871651827465,27.866666666666664
7546,7549,1,50.8,12.0,30.9,2,3,1,2.8,0,1,1,1,1,0,1,1,3805,0,55.852435,37.385771000000005,8,улица Центральная,8,2013,7,5,True,False,False,3,False,0,0.22683793600079485,-1.0246605204469017,16.933333333333334
18178,18184,3,73.6,13.0,42.0,21,3,3,2.65,0,2,1,1,0,0,4,1,8281,1,55.617017,37.413718,11,Саларьево Парк ЖК,23,2021,3,24,False,True,True,1,False,4,0.20334942381514928,-2.1874631775168227,24.53333333333333
20833,20840,0,35.0,9.5,19.5,12,1,3,2.48,1,0,1,0,0,1,1,1,2152,0,55.778558,37.726286,3,Измайловское шоссе,24К1,1995,3,14,False,True,False,3,True,0,0.15311373684697607,1.279726648943064,35.0
23004,23012,0,33.0,6.0,22.0,3,1,3,2.64,1,0,1,0,0,0,1,1,8507,0,55.615848,37.494476,6,улица Генерала Тюленева,35,1972,3,9,True,True,False,1,True,0,0.14613187577120212,-2.5196670668828665,33.0
773,773,1,101.5,14.0,56.0,12,3,3,2.8,1,1,1,1,2,0,0,1,3747,0,55.828480000000006,37.448042,8,улица Циолковского,7,2011,2,32,False,True,True,0,True,0,0.16161969922180186,-0.9511353170286346,33.833333333333336
9363,9367,1,45.0,10.7,29.4,9,2,3,2.8,0,1,2,2,1,0,1,1,770,0,55.634812,37.539715,6,улица Островитянова,45К1,1972,3,9,False,True,False,3,True,0,0.10748502745426766,-2.76129989799151,22.5
11519,11523,4,75.0,7.8,42.0,3,3,1,2.8,0,1,1,0,0,2,3,1,1263,0,55.675976,37.542285,6,улица Вавилова,95,1982,0,9,False,True,True,1,True,0,0.06951416891161177,-2.5747412819289304,25.0
10563,10567,1,73.0,10.0,43.0,7,3,1,2.8,0,1,1,1,0,1,2,1,2904,0,55.73576800000001,37.858312,3,Новокосинская улица,12К6,1996,2,14,False,True,True,1,True,0,0.2787017558891727,1.5666695663309662,24.333333333333332
8777,8781,1,47.3,7.0,35.1,10,2,1,2.64,0,1,1,0,1,0,1,2,8847,0,55.747358,37.818058,3,Союзный проспект,20К3,1967,4,12,False,True,True,1,True,0,0.23878549267034735,1.5174171028024734,23.65
13765,13769,3,72.48,15.2,39.4,13,3,3,2.8,0,1,1,1,0,1,4,1,1281,1,55.774897,37.625046000000005,0,улица Троицкая,90,2021,2,14,False,True,True,1,False,0,0.060717384252757904,0.8454600022594951,24.16
12476,12480,3,104.0,21.3,55.7,5,3,3,2.8,0,0,2,2,0,0,4,1,7624,1,55.785777,37.58579,1,Бумажный проезд,2/2,2020,2,20,False,True,False,0,False,4,0.051530737011169066,0.12016662458926175,34.666666666666664
5887,5890,3,89.65,18.9,41.3,2,3,3,2.72,2,0,1,1,0,0,4,1,1936,1,55.669986,37.773134000000006,4,Цимлянская улица,3к2.1,2020,2,9,True,True,True,1,False,4,0.20402892911896878,1.8931268923106446,29.883333333333336
22799,22807,2,60.0,6.0,44.0,5,3,3,2.64,0,1,1,1,0,1,2,1,2689,0,55.710033,37.820987,4,Рязанский проспект,78/1,1969,2,9,False,True,False,1,True,0,0.24262318183729467,1.6722999620067145,20.0
19177,19184,3,65.6,11.3,28.0,2,2,3,2.8,0,2,0,1,0,0,4,1,856,1,55.860423,37.541063,1,Ильменский проезд,17к1,2021,2,23,False,True,True,1,False,4,0.13157888987388963,-0.29733921578367,32.8
4308,4311,2,39.4,8.0,21.0,2,1,3,2.64,0,1,1,0,0,0,0,1,8202,0,55.880722,37.55372,1,мкр. 16-й,к1620,1994,2,14,False,True,True,1,True,0,0.1483807435373482,-0.17539916941380246,39.4
16583,16589,3,34.7,9.1,12.9,3,1,3,2.89,1,0,1,0,0,1,4,1,3721,1,55.565875,37.500935,11,Скандинавия ЖК,к15/2,2019,7,14,False,True,True,0,False,4,0.1861835731725698,-2.7053015918263785,34.7
1103,1103,0,38.4,11.0,17.0,20,1,3,2.7,1,0,0,1,1,0,2,1,602,0,55.844324,37.371506,8,Митинская улица,28к5,2016,2,25,False,True,True,1,False,0,0.23525262927039872,-1.0856551074461598,38.4
22910,22918,3,40.6,9.1,18.0,3,1,3,3.0,1,0,2,2,0,1,4,1,8016,1,55.580192,37.587137,5,Варшавское шоссе,170Е,2020,2,19,False,True,True,0,False,4,0.15460907154819004,3.092906272771087,40.6
17728,17734,2,58.3,10.2,33.8,5,2,1,2.64,0,1,1,0,0,1,0,1,827,0,55.792301,37.812498,3,Нижняя Первомайская улица,53,1983,3,17,False,True,True,1,True,0,0.23992279011988207,1.3279939648823156,29.15
7814,7817,4,138.8,10.7,30.9,12,4,3,2.8,0,0,1,1,0,0,0,1,7810,0,55.740938,37.549255,7,улица Дунаевского,7,2013,7,12,False,True,False,3,False,4,0.031008531029551634,-1.3655389508911646,34.7
18246,18252,4,245.0,10.7,30.9,9,4,3,2.8,0,3,2,2,2,0,4,1,1522,0,55.779565000000005,37.638171,0,Протопоповский переулок,10,2006,2,15,True,True,False,3,False,1,0.07381956971936321,0.9161505703695558,61.25
21552,21560,3,122.1,10.7,72.0,3,3,3,3.34,0,0,2,2,0,0,4,1,8745,1,55.780891,37.580984,1,улица 3-я Ямского Поля,9к6,2016,2,6,True,True,True,3,True,4,0.0462934492887149,0.029628023086462927,40.699999999999996
5738,5741,4,50.1,25.5,16.3,19,1,3,2.8,0,1,2,2,0,0,4,1,5782,1,55.707426,37.934031,4,Квартал Некрасовка ЖК,к8,2020,2,23,False,True,True,1,False,4,0.35545996637131877,1.6473688277911058,50.1
7048,7051,3,59.1,11.3,34.3,3,2,3,3.0,0,1,2,2,0,0,4,1,3382,1,55.799193,37.565147,1,улица Юннатов,4Б,2021,7,25,False,True,False,0,False,4,0.06617553756347035,-0.22037403939080488,29.55
9749,9753,1,38.0,8.5,20.0,3,1,3,2.8,1,0,1,0,0,1,1,1,4486,0,55.641854,37.763827,5,улица Борисовские Пруды,34К1,1985,3,17,True,True,True,3,True,0,0.20625245207416454,2.037291660115381,38.0
22322,22330,3,39.1,10.7,17.9,1,1,3,2.8,0,0,2,2,0,0,4,1,8331,1,55.638125,37.316709,11,15-я фаза тер.,к9,2021,2,17,False,True,True,1,False,4,0.28005211216296066,-1.922559189372903,39.1
8175,8178,3,60.7,23.1,24.0,17,2,3,2.65,0,1,0,1,0,0,4,1,7078,1,55.544046,37.478055,11,Бунинские Луга ЖК,к2.3/2,2020,7,18,False,True,True,1,False,4,0.21594347976390424,-2.6519651205841934,30.35
16546,16552,4,37.9,9.8,18.9,13,1,3,2.8,1,0,2,2,0,1,2,1,3590,0,55.605093,37.366394,11,улица Никитина,14к1,2015,3,17,False,True,True,1,True,1,0.2494771936487261,-2.116693647130889,37.9
8356,8360,3,44.7,12.1,20.0,20,1,3,3.0,0,0,2,2,0,1,4,1,1744,1,55.811735,37.740722,3,Тюменский проезд,3к5,2021,7,22,True,True,True,0,True,0,0.1786149077462228,1.1243633968958837,44.7
7954,7957,4,97.9,10.9,60.5,8,3,2,3.3,1,0,1,1,1,0,2,1,3472,0,55.758676,37.647181,0,улица Покровка,20/1С1,1936,2,8,False,True,False,1,False,0,0.0717236367276597,1.2287365744166465,32.63333333333333
2039,2039,3,118.94,20.2,66.8,6,3,3,3.0,2,0,1,1,0,0,4,1,2344,1,55.850909,37.617527,2,Березовая аллея,17к1,2021,2,11,False,True,True,1,False,4,0.12231568921410241,0.31516309939792586,39.64666666666667
9356,9360,2,56.0,10.0,32.0,8,2,1,2.75,0,1,1,1,0,1,2,2,7909,0,55.548227,37.546399,6,Веневская улица,5,1993,3,14,False,True,True,1,True,0,0.18932696585641826,-2.965250195121302,28.0
15232,15237,2,66.0,10.0,40.0,7,2,3,3.0,1,0,1,0,0,0,2,1,8001,0,55.721503000000006,37.672334,4,Шарикоподшипниковская улица,9,1958,0,8,False,True,False,1,True,0,0.09364429813949852,1.7113080656133073,33.0
18385,18391,4,53.5,9.0,32.2,5,2,1,2.64,0,1,1,0,0,1,1,1,8030,0,55.858665,37.496803,1,улица Ляпидевского,16К1,2002,2,14,False,True,True,1,True,0,0.1491479926147308,-0.5886247902863594,26.75
2365,2365,1,135.0,30.0,65.0,1,3,3,2.8,2,1,1,0,1,0,0,1,6303,0,55.751351,37.514302,7,улица Заречная,36к1,2013,0,3,True,False,False,3,False,4,0.06742013378334896,-1.3199830047791066,45.0
15761,15766,4,77.3,10.7,30.9,5,3,3,2.8,1,0,2,2,1,0,3,1,7210,0,55.766425,37.667096,0,Старая Басманная улица,20к12,1954,0,5,True,False,False,3,False,0,0.09308617462897151,1.22207587414197,25.766666666666666
21611,21619,1,34.0,7.0,19.0,8,1,3,2.64,0,1,1,0,1,0,2,2,8688,0,55.808265000000006,37.56883,1,Дмитровский проезд,14,1970,7,9,True,True,False,3,True,0,0.07443228402522996,-0.14537632074358728,34.0
10742,10746,3,72.2,6.6,45.9,2,2,3,2.8,1,2,1,1,0,0,4,1,2500,1,55.793035,37.54506,1,Ленинградский проспект,37К6,2020,7,41,False,True,False,0,False,4,0.06787079405721833,-0.5341318995159846,36.1
15547,15552,0,53.0,10.7,30.9,7,2,3,2.64,0,1,1,1,1,0,1,2,8443,0,55.84537,37.41909,8,проезд Донелайтиса,17,1985,3,12,False,True,False,3,True,0,0.19502191011857417,-0.9668491117704504,26.5
19948,19955,4,95.0,10.7,30.9,33,2,3,2.8,0,0,2,2,0,0,3,1,8776,0,55.723257,37.52766,7,Мосфильмовская улица,8,2011,2,53,True,True,True,0,True,0,0.05318029485201835,-1.7860848254754456,47.5
2020,2020,3,80.6,23.1,41.8,10,3,3,2.72,0,2,1,1,1,0,4,1,8286,1,55.802057,37.597881,2,Складочная улица,6к4,2021,2,11,False,True,True,1,False,4,0.0698696668727887,0.2645383609293145,26.866666666666664
6590,6593,3,36.83,12.4,14.9,12,1,3,3.1,1,0,2,2,0,0,4,1,3029,1,55.790195,37.472261,8,улица Берзарина,30К3,2021,2,25,True,True,True,0,False,0,0.12088501704665124,-1.0930803777799893,36.83
10843,10847,4,79.1,22.9,40.9,18,3,3,2.65,0,2,1,1,0,0,4,1,8281,1,55.617017,37.413718,11,Саларьево Парк ЖК,23,2021,3,24,False,True,True,1,False,4,0.20334942381514928,-2.1874631775168227,26.366666666666664
1876,1876,2,36.0,10.0,16.0,4,1,3,2.64,1,0,1,0,0,0,2,1,1969,0,55.868799,37.637192,2,Заповедная улица,16к3,2009,2,16,True,True,True,0,True,0,0.1460135662631724,0.40535246962918975,36.0
194,194,3,43.4,23.0,11.4,1,1,3,2.65,1,0,1,0,0,0,4,1,7664,1,55.544046,37.478055,11,Бунинские Луга ЖК,к2.3/1,2020,7,18,False,True,True,1,False,4,0.21594347976390424,-2.6519651205841934,43.4
18784,18790,4,60.0,10.7,40.0,1,3,3,3.0,0,2,1,0,0,0,1,1,2130,0,55.682316,37.528262,6,улица Крупской,7,1959,0,9,False,True,True,1,True,0,0.0732964615643872,-2.36537153883946,20.0
5913,5916,3,68.1,10.7,0.0,20,3,3,3.2,2,0,2,2,2,0,4,1,1135,1,55.751016,37.686815,4,улица Золоторожский Вал,11С20,2023,2,20,False,True,True,0,False,4,0.10844929506103919,1.419008624927375,22.7
15190,15195,4,64.2,12.9,33.7,13,2,3,2.8,0,1,2,2,1,1,4,1,3601,1,55.70143,37.944514,4,улица Лавриненко,3,2018,7,17,False,True,True,1,False,0,0.36640749677034823,1.6614970244021372,32.1
17965,17971,0,72.0,7.4,43.0,22,3,1,2.8,0,1,1,0,0,1,0,1,4193,0,55.637896,37.540802,6,Миклухо-Маклая улица,42,1990,3,25,True,True,True,1,True,0,0.1042179626495593,-2.7600005366672336,24.0
7825,7828,4,136.0,11.3,90.2,3,4,3,3.3,2,0,2,2,1,1,3,1,4940,0,55.71515,37.480022,7,Староволынская улица,15к1,2006,2,6,True,True,True,0,True,0,0.10147555828233525,-1.7638409540738869,34.0
11141,11145,4,114.0,10.5,76.0,14,4,3,2.75,0,0,1,1,1,1,1,2,803,0,55.67756,37.486436,7,улица Коштоянца,10,1984,3,23,False,True,True,1,True,0,0.10925878588616106,-2.12025635790473,28.5
2984,2986,3,74.33,13.7,40.5,2,2,3,3.3,1,1,1,0,0,1,4,1,2067,1,55.762713,37.542913,0,Красногвардейский бульвар,15С2,2020,7,19,False,True,True,0,False,4,0.046219025920813485,-0.9174217353990497,37.165
17638,17644,2,52.0,9.0,30.0,11,2,3,2.74,1,0,1,0,0,1,1,1,7007,0,55.780876,37.533544,1,улица Полины Осипенко,14К1,2001,3,17,False,True,False,3,True,0,0.0652850081186188,-0.7833455125251868,26.0
11622,11626,4,57.1,12.2,29.9,6,2,3,2.8,0,1,1,0,1,0,1,1,8631,0,55.592637,37.461122,11,бульвар Веласкеса,8,2019,2,9,True,True,True,2,False,0,0.184928616566276,-2.4461347647619625,28.55
14995,15000,1,36.0,6.5,18.0,7,1,3,2.7,1,0,1,0,0,0,2,1,4835,0,55.716554,37.45752,7,Инициативная улица,10к1,1972,3,9,False,True,False,3,True,0,0.12342167765637659,-1.7176829092020813,36.0
20969,20976,1,37.1,8.9,22.7,5,1,3,2.8,1,0,1,0,0,0,1,1,8180,0,55.724865,37.666252,4,улица Мельникова,27,1974,3,9,False,True,False,1,True,0,0.08718658767812877,1.6828929613408719,37.1
13501,13505,2,63.0,8.0,42.0,6,3,1,2.7,0,1,1,1,0,1,1,1,7088,0,55.669554000000005,37.588871000000005,6,Нахимовский проспект,22,1977,7,15,False,True,True,1,True,4,0.0657192860112147,3.0002447398782555,21.0
7840,7843,4,180.0,10.7,30.9,2,5,3,3.3,0,4,2,2,0,0,4,1,6685,0,55.727693,37.535359,7,Воробьевское шоссе,4,2017,2,16,True,True,True,0,True,0,0.0447921470456107,-1.7260189435615916,36.0
401,401,3,87.9,19.9,45.5,2,3,3,2.65,0,2,1,1,0,0,4,1,3465,1,55.544046,37.478055,11,Бунинские Луга ЖК,к2.5/1,2021,3,9,False,True,True,1,False,4,0.21594347976390424,-2.6519651205841934,29.3
12184,12188,0,23.0,2.0,19.0,2,1,3,2.64,1,0,1,0,0,1,0,1,5077,0,55.698802,37.930905,4,Покровская улица,17к5,2018,7,25,True,True,True,1,True,0,0.35311345847056574,1.6723998316748752,23.0
21017,21024,4,44.7,11.6,21.4,12,1,3,2.8,1,0,0,1,0,1,0,1,2993,0,55.682645,37.643228,5,Нагатинская набережная,10к1,2018,3,15,True,True,True,1,True,0,0.08214679491454699,2.255809024162096,44.7
